what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987564365
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987580171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987581141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987582321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987582801
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987586151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987587171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987589081
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987589991
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987590861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987591271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987594581
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987595391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987603541
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987603581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987603641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987604691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987605441
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1439987605521
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1439987605621
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1439987605721
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1439987605721
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1439987605721
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1439987605721
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1439987605721
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1439987605721
stopped,bundle,org.eclipse.bpel.apache.ode.runtime,0.8.0.201508190936,"org.eclipse.bpel.apache.ode.runtime",1439987605721
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1439987605721
stopped,bundle,org.eclipse.bpel.jboss.riftsaw.runtime,0.8.0.201508190936,"org.eclipse.bpel.jboss.riftsaw.runtime",1439987605721
stopped,bundle,de.unistuttgart.iaas.abstractConstructs.staticFragmento.ui,1.0.0.201508190936,"de.unistuttgart.iaas.abstractConstructs.staticFragmento.ui",1439987605721
stopped,bundle,de.unistuttgart.iaas.bpel.extensions.ui,1.0.0.201508190936,"de.unistuttgart.iaas.bpel.extensions.ui",1439987605721
stopped,bundle,org.eclipse.bpel.apache.ode.deploy.ui,0.8.0.201508190936,"org.eclipse.bpel.apache.ode.deploy.ui",1439987605731
stopped,bundle,org.eclipse.bpel.compare.ui,0.8.0.201508190936,"org.eclipse.bpel.compare.ui",1439987605731
stopped,bundle,org.eclipse.bpel.simpl.ui.sql,0.1.4.201508190936,"org.eclipse.bpel.simpl.ui.sql",1439987605731
stopped,bundle,org.eclipse.bpel.simpl.ui,0.1.4.201508190936,"org.eclipse.bpel.simpl.ui",1439987605731
stopped,bundle,org.eclipse.simpl.statementtest,1.0.0.201508190936,"org.eclipse.simpl.statementtest",1439987605731
stopped,bundle,org.eclipse.bpel.simpl.model,0.1.2.201508190936,"org.eclipse.bpel.simpl.model",1439987605731
stopped,bundle,org.eclipse.bpel.simtech.extensions.ui,0.0.1.201508190936,"org.eclipse.bpel.simtech.extensions.ui",1439987605731
stopped,bundle,org.eclipse.bpel.simtech.extensions.model,0.0.1.201508190936,"org.eclipse.bpel.simtech.extensions.model",1439987605731
stopped,bundle,org.eclipse.bpel.tagging,0.3.0.201508190936,"org.eclipse.bpel.tagging",1439987605731
stopped,bundle,org.eclipse.bpel.views.ui,0.3.0.201508190936,"org.eclipse.bpel.views.ui",1439987605731
stopped,bundle,org.eclipse.simpl.rrs.transformation,0.1.0.201508190936,"org.eclipse.simpl.rrs.transformation",1439987605731
stopped,bundle,org.eclipse.bpel.ui,0.8.0.201508190936,"org.eclipse.bpel.ui",1439987605731
stopped,bundle,org.eclipse.apache.ode.processManagement,1.0.0.201508190936,"org.eclipse.apache.ode.processManagement",1439987605731
stopped,bundle,org.eclipse.bpel.runtimes,0.8.0.201508190936,"org.eclipse.bpel.runtimes",1439987605731
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1439987605731
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1439987605731
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1439987605731
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1439987605731
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1439987605731
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1439987605731
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1439987605731
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1439987605741
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1439987605741
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1439987605741
